target_index,pixel_scale,FWHM,R_E,r_s_eff,N_pix_expected,A_expected,max_snr_expected,IC_joint_expected,N_pix,A,max_snr,IC_joint
68,0.1,0.4,1.3040569567973057,0.4208571589889763,0,0.0,0.4168032518920671,0.0,38,0.38000000000000006,3.158847304946891,7.359112720890477
69,0.1,0.4,0.7752682603283847,0.4722853765995021,0,0.0,1.6635608785946967,0.0,56,0.56,3.6746428688714006,5.745337555624429
70,0.1,0.4,0.6098430590465838,0.3649605304591096,0,0.0,0.5439826267145917,0.0,46,0.4600000000000001,3.2402722569344977,4.804077834261503
71,0.1,0.4,0.8198006449042174,0.1512800421592955,12,0.12000000000000002,2.218732877787292,4.0643198858361975,107,1.0700000000000003,4.289204360882276,36.2401856487061
72,0.1,0.4,0.3849149160829023,0.2173318021401238,77,0.7700000000000001,16.54249984064561,8.523386892336346,129,1.2900000000000003,16.394954853682908,14.279440378069982
73,0.1,0.4,1.1560140676410042,0.2826978909781762,63,0.6300000000000001,3.620969548177769,16.10130650634336,120,1.2000000000000002,5.360905529036848,30.669155250177827
74,0.1,0.4,0.4373142518964944,0.5367660964522173,0,0.0,0.7366676244494205,0.0,57,0.5700000000000001,3.165390346297823,2.90244118001955
75,0.1,0.4,1.205899056989725,0.2087414241127232,14,0.14,2.4602518048283497,5.054874370772749,86,0.8600000000000002,5.429031660297219,31.05137113474689
76,0.1,0.4,0.3593726318553603,0.7730192917247819,0,0.0,1.7971293590539785,0.0,90,0.9000000000000001,3.6539666377763367,2.6150331250802807
77,0.1,0.4,0.7054608296409609,0.2498147730425511,8,0.08000000000000002,2.3102903048252164,1.4119677972783446,60,0.6000000000000001,3.7280954718848713,10.589758479587585
78,0.1,0.4,0.8456854811914739,0.2002255747098924,0,0.0,0.27858143453734685,0.0,44,0.44000000000000006,3.155176969981736,11.61507503048087
79,0.1,0.4,0.4808007324862847,0.9752488956056048,0,0.0,1.6146628709188244,0.0,71,0.7100000000000002,3.4772993915738177,2.187701272999654
80,0.1,0.4,0.6389036110600651,0.4417475287325798,0,0.0,0.6805783404135155,0.0,124,1.2400000000000002,3.6575629696428384,11.20889798732296
81,0.1,0.4,0.7871855254530887,0.154491653215145,118,1.1800000000000002,8.091033008921944,37.57803822664648,177,1.7700000000000002,9.502057963556803,56.36705733996972
82,0.1,0.4,1.5958303153544346,0.2740024889512745,0,0.0,1.303348504769577,0.0,96,0.9600000000000002,3.5753733635230813,34.94487195636137
83,0.1,0.4,0.5820701469149989,0.2929165024163819,0,0.0,1.614831460616264,0.0,72,0.7200000000000002,3.6908143996620644,8.942192193030245
84,0.1,0.4,1.1757120705709496,1.0590127413678387,0,0.0,0.6175160299663599,0.0,111,1.1100000000000003,3.4538321560576026,7.701987115897102
